Time,open,high,low,close
2025-04-13 13:00:00,17.235,17.235,17.235,17.235
2025-04-13 13:30:00,17.235,17.235,17.235,17.235
2025-04-13 14:00:00,17.235,17.235,17.235,17.235
2025-04-13 14:30:00,17.235,17.235,17.235,17.235
2025-04-13 15:00:00,17.235,17.235,17.235,17.235
2025-04-13 15:30:00,17.235,17.235,17.235,17.235
2025-04-13 16:00:00,17.235,17.235,17.235,17.235
2025-04-13 16:30:00,17.235,17.235,17.235,17.235
2025-04-13 17:00:00,17.235,17.235,17.235,17.235
2025-04-13 17:30:00,17.235,17.235,17.235,17.235
2025-04-13 18:00:00,17.235,17.235,17.235,17.235
2025-04-13 18:30:00,17.235,17.235,17.235,17.235
2025-04-13 19:00:00,17.235,17.235,17.235,17.235
2025-04-13 19:30:00,17.235,17.235,17.235,17.235
2025-04-13 20:00:00,17.235,17.235,17.235,17.235
2025-04-13 20:30:00,17.235,17.235,17.235,17.235
2025-04-13 21:00:00,17.235,17.235,17.235,17.235
2025-04-13 21:30:00,17.235,17.235,17.235,17.235
2025-04-13 22:00:00,17.235,17.235,17.235,17.235
2025-04-13 22:30:00,17.235,17.235,17.235,17.235
2025-04-13 23:00:00,17.235,17.235,17.235,17.235
2025-04-13 23:30:00,17.235,17.235,17.235,17.235
2025-04-14 03:00:00,16.385,17.115,16.075,16.635
2025-04-14 03:30:00,16.665,17.245,16.265,16.555
2025-04-14 04:00:00,16.455,16.835,15.965,16.585
2025-04-14 04:30:00,16.715,17.245,16.445,16.785
2025-04-14 05:00:00,16.395,17.095,15.065,15.065
2025-04-14 05:30:00,15.435,16.225,14.895,15.995
2025-04-14 06:00:00,16.125,16.445,14.515,15.465
2025-04-14 06:30:00,15.365,16.215,15.235,15.695
2025-04-14 07:00:00,15.655,15.655,14.995,15.155
2025-04-14 07:30:00,15.125,15.265,14.605,14.945
2025-04-14 08:00:00,14.965,15.885,14.545,15.355
2025-04-14 08:30:00,15.365,15.445,14.465,14.665
2025-04-14 09:00:00,14.735,15.395,14.635,14.985
2025-04-14 09:30:00,15.735,15.955,14.625,15.155
2025-04-14 10:00:00,15.205,15.555,14.825,15.515
2025-04-14 10:30:00,15.175,15.885,14.725,15.105
